group,age,sample_id,n_roi_noncell_voxels,n_roi_noncell_nonzero,mean_AT8,std_AT8,median_AT8,AT8_positive_ratio_2std,AT8_positive_ratio_mean,AT8_positive_ratio_1std,total_cells,AT8_positive_cells_2std,AT8_positive_cells_mean,AT8_positive_cells_1std
PS19,6 Months,181,3687186,3687186,553.951308396159,279.300660730905,485.0,0.05263157894736842,0.8345864661654135,0.48872180451127817,133,7,111,65
PS19,6 Months,181,12175623,12175623,349.25181709387687,171.1082525114915,302.0,0.08304498269896193,0.6608996539792388,0.34256055363321797,289,24,191,99
PS19,6 Months,181,2225934,2225934,490.51568150717856,268.48969532329045,404.0,0.07352941176470588,0.7205882352941176,0.5294117647058824,68,5,49,36
PS19,6 Months,181,25827774,25827774,281.402914552373,139.76394697643198,260.0,0.04807692307692308,0.6538461538461539,0.21474358974358973,312,15,204,67
PS19,6 Months,410,20529970,20529970,149.65663715046833,12.740990095864367,149.0,0.0038910505836575876,0.7159533073929961,0.13229571984435798,257,1,184,34
PS19,6 Months,410,36236660,36236660,143.26636729212902,11.61132368708898,143.0,0.010362694300518135,0.8601036269430051,0.2538860103626943,193,2,166,49
PS19,6 Months,410,28922369,28922369,161.5743504966692,20.41126877776119,160.0,0.002890173410404624,0.8121387283236994,0.2023121387283237,346,1,281,70
PS19,6 Months,410,26400969,26400969,162.85887105128603,20.771472332844397,161.0,0.0,0.7662337662337663,0.1590909090909091,308,0,236,49
PS19,6 Months,410,22934965,22934965,157.90650777099506,15.579983109152888,157.0,0.013440860215053764,0.717741935483871,0.22311827956989247,372,5,267,83
PS19,6 Months,148,12916210,12916210,253.1621823274784,93.58502998620588,228.0,0.02390438247011952,0.601593625498008,0.19123505976095617,251,6,151,48
PS19,6 Months,148,29930289,29930289,202.59025744789835,51.35307145225128,195.0,0.12056737588652482,0.6595744680851063,0.2576832151300236,423,51,279,109
PS19,6 Months,148,28683863,28683863,162.1919217784578,52.57641690019469,143.0,0.08761329305135952,0.6676737160120846,0.2930513595166163,331,29,221,97
PS19,6 Months,148,75686567,75686567,191.06439282680108,46.139700966010636,187.0,0.09592326139088729,0.7470023980815348,0.2014388489208633,834,80,623,168
PS19,6 Months,148,12063429,12063429,200.09430842590444,80.04363297176634,175.0,0.05714285714285714,0.6457142857142857,0.2057142857142857,175,10,113,36
PS19,3 Months,453,13130095,13130095,182.83706416442533,35.98155916175631,178.0,0.10191082802547771,0.8535031847133758,0.4394904458598726,157,16,134,69
PS19,3 Months,453,5076513,5076513,187.78647528332934,30.12109788420646,185.0,0.1095890410958904,0.8904109589041096,0.4794520547945205,73,8,65,35
PS19,3 Months,453,24342193,24342193,176.72203256296586,23.385140311614304,174.0,0.16044776119402984,0.8134328358208955,0.43283582089552236,268,43,218,116
PS19,3 Months,453,13838907,13838907,168.0417606679487,27.583824873069172,165.0,0.10043668122270742,0.7991266375545851,0.4192139737991266,229,23,183,96
PS19,3 Months,453,17244851,17244851,179.80525810283893,27.58415609988497,177.0,0.07246376811594203,0.7420289855072464,0.3130434782608696,345,25,256,108
PS19,3 Months,246,50879985,50879985,136.88828330039797,28.735036343018084,135.0,0.02356902356902357,0.7845117845117845,0.16666666666666666,594,14,466,99
PS19,3 Months,246,65299278,65299278,126.97087503785264,11.945525158190236,126.0,0.03258426966292135,0.7471910112359551,0.13820224719101123,890,29,665,123
PS19,3 Months,246,109083524,109083524,131.48830896772276,19.81115477165289,130.0,0.02290748898678414,0.6475770925110133,0.1092511013215859,1135,26,735,124
PS19,3 Months,246,61867057,61867057,130.7747074828531,16.91082148290808,129.0,0.034482758620689655,0.669761273209549,0.17771883289124668,754,26,505,134
PS19,3 Months,246,71901262,71901262,137.34853143467774,25.457518905631012,135.0,0.03909205548549811,0.5296343001261034,0.15762925598991173,793,31,420,125
PS19,3 Months,240,8343280,8343280,208.76228989078635,72.30839071448476,192.0,0.14516129032258066,0.6666666666666666,0.43010752688172044,186,27,124,80
PS19,3 Months,240,24135966,24135966,178.51207956623736,44.51371827412326,170.0,0.12602739726027398,0.5945205479452055,0.30684931506849317,365,46,217,112
PS19,3 Months,240,30626766,30626766,167.339130648009,40.15010343976262,159.0,0.13352272727272727,0.7869318181818182,0.4602272727272727,352,47,277,162
PS19,3 Months,240,20555133,20555133,159.73027778511576,44.116288916739556,152.0,0.09259259259259259,0.7481481481481481,0.37037037037037035,270,25,202,100
PS19,3 Months,240,17143659,17143659,210.2426358340422,67.33294813451867,195.0,0.16356877323420074,0.6728624535315985,0.4200743494423792,269,44,181,113
PS19,3 Months,247,14477532,14477532,416.114335371526,162.87696268683882,393.0,0.07633587786259542,0.7404580152671756,0.33587786259541985,262,20,194,88
PS19,3 Months,247,6923366,6923366,382.13920844282967,136.02260642192948,353.0,0.1056338028169014,0.7676056338028169,0.4084507042253521,142,15,109,58
PS19,3 Months,247,50089547,50089547,333.0186595418801,108.98646646038686,311.0,0.10292072322670376,0.6342141863699583,0.25034770514603616,719,74,456,180
PS19,3 Months,247,6311047,6311047,597.0831790668014,271.9724753875326,540.0,0.05660377358490566,0.7169811320754716,0.37735849056603776,159,9,114,60
PS19,3 Months,247,13029895,13029895,483.58425037193314,172.64151612517742,448.0,0.07017543859649122,0.7017543859649122,0.35789473684210527,285,20,200,102
PS19,3 Months,245,85795215,85795215,152.79715987657355,25.771867944147548,149.0,0.06060606060606061,0.6238244514106583,0.19122257053291536,957,58,597,183
PS19,3 Months,245,49554556,49554556,154.62514217663457,31.969712203336233,149.0,0.0865979381443299,0.6597938144329897,0.2556701030927835,485,42,320,124
PS19,3 Months,245,28825482,28825482,160.7219792543278,39.360983194577706,156.0,0.03189066059225513,0.5763097949886105,0.1480637813211845,439,14,253,65
PS19,3 Months,245,37016821,37016821,160.04331179600754,37.04406988209115,153.0,0.14428857715430862,0.7154308617234469,0.37074148296593185,499,72,357,185
PS19,3 Months,245,17866017,17866017,190.0850978704431,64.85944621865795,177.0,0.09863945578231292,0.6768707482993197,0.29931972789115646,294,29,199,88
Control,7 Months,78,24075783,24075783,177.3728898869042,34.13717505110065,173.0,0.018691588785046728,0.6051401869158879,0.102803738317757,428,8,259,44
Control,7 Months,78,6682625,6682625,205.98490458465048,40.793469693024996,200.0,0.023668639053254437,0.7692307692307693,0.17159763313609466,169,4,130,29
Control,7 Months,78,10453705,10453705,206.2793074799796,64.56238009111455,190.0,0.03125,0.40625,0.08984375,256,8,104,23
Control,7 Months,78,17945153,17945153,196.0498918008668,46.32185645505607,187.0,0.02729528535980149,0.5210918114143921,0.09925558312655088,403,11,210,40
Control,7 Months,78,12235773,12235773,201.82865275450925,50.457452676850394,193.0,0.009868421052631578,0.5921052631578947,0.09539473684210527,304,3,180,29
Control,7 Months,74,27452075,27452075,186.30062113701788,57.736464614479694,181.0,0.004724409448818898,0.5196850393700787,0.03779527559055118,635,3,330,24
Control,7 Months,74,4977086,4977086,175.29994679617752,31.498161140482125,171.0,0.03361344537815126,0.7058823529411765,0.11764705882352941,119,4,84,14
Control,7 Months,74,16672071,16672071,181.9087099617078,59.46312489348479,176.0,0.007159904534606206,0.6109785202863962,0.05250596658711217,419,3,256,22
Control,7 Months,74,15522581,15522581,162.34449032670534,33.310825985810936,158.0,0.02127659574468085,0.5611702127659575,0.05053191489361702,376,8,211,19
Control,7 Months,74,2258707,2258707,274.3433822979253,102.3041578247989,248.0,0.044444444444444446,0.4444444444444444,0.1111111111111111,45,2,20,5
Control,9 Months,69,14754295,14754295,148.60525860435894,20.40740384512364,149.0,0.023255813953488372,0.7641196013289037,0.10963455149501661,301,7,230,33
Control,9 Months,69,13398333,13398333,152.47625439672234,26.86055432428421,149.0,0.02734375,0.625,0.07421875,256,7,160,19
Control,9 Months,69,45201637,45201637,143.84221401096602,15.374751913366994,144.0,0.013513513513513514,0.6816816816816816,0.06156156156156156,666,9,454,41
Control,9 Months,69,8546153,8546153,180.01688443911547,40.91506845398346,175.0,0.08620689655172414,0.7298850574712644,0.1839080459770115,174,15,127,32
Control,9 Months,69,19476566,19476566,146.8687876497325,18.311702429838522,146.0,0.00558659217877095,0.6787709497206704,0.030726256983240222,358,2,243,11
Control,9 Months,53,26549240,26549240,138.0646058418245,18.856141629953072,137.0,0.0,0.7259100642398287,0.034261241970021415,467,0,339,16
Control,9 Months,53,10511834,10511834,138.35715213919855,19.141811989279624,138.0,0.0,0.7423312883435583,0.018404907975460124,163,0,121,3
Control,9 Months,53,24408897,24408897,132.7738553692123,19.99190405461146,131.0,0.004282655246252677,0.569593147751606,0.16059957173447537,467,2,266,75
Control,9 Months,53,32037888,32037888,143.20939223584276,16.248150260003598,143.0,0.0022371364653243847,0.767337807606264,0.06935123042505593,447,1,343,31
Control,9 Months,53,10157404,10157404,143.92923477297938,24.89895396785126,141.0,0.12162162162162163,0.8513513513513513,0.3581081081081081,148,18,126,53
Control,9 Months,137,21328251,21328251,133.60359299972603,24.271995908704028,128.0,0.09019607843137255,0.7568627450980392,0.4117647058823529,255,23,193,105
Control,9 Months,137,27632428,27632428,134.03225608694248,21.792831478778133,133.0,0.08086253369272237,0.7951482479784366,0.4339622641509434,371,30,295,161
Control,9 Months,137,8204531,8204531,189.53517586806606,33.89862853140015,187.0,0.01098901098901099,0.8498168498168498,0.2564102564102564,273,3,232,70
